迪莫: 攻击↓ | 生命+魔攻+物防/魔防/速度 | 折射 / 过曝 / 气泡 / 超导 / 棘突 / 离子震荡 / 恶能量 | 折射强化站场玩法；打击面4选2；恶血脉吸血机械血脉强化双防
魔力猫: 攻击↓ | 生命+/魔防+物防 | 光合作用 / 光能聚集 / 霜降 / 酶浓度调整 / 引燃 | 联防位+开印记顺便辅助队友；挂状态消耗对手
火神: 魔攻↓ | 生命+攻击+速度 | 火云车 | 高速强化清场手；炊火叠输出产火云/↑火打爆发
水灵: 攻击↓ | 生命++魔防/物防 | 潮汐 / 速冻 / 天洪 / 寒风吹 / 有效预防 | 魔攻端盾&输出手；潮汐开印记产速冻控速帮助队友
鸭吉吉:  | 生命+物攻+速度 |  | 请输文本；和阿布一桌的晚宴；有多的资源可以扔路边，不建议浪费；你问过你的的真的想被鸭吉吉吃掉吗；进化两段再来吧
水泡壳:  |  |  | 
花影羚羊: 魔攻↓ | 生命+攻击+魔防 | 虚假破产 / 隐藏条款 | 隐藏条款强抢对手技能；同时通过特性耗能生命恶意逃
岚鸟: 魔攻↓ | 生命+攻击+速度 | 闪击 / 俯冲 / 水刃 / 冰雹 / 速冻 / 力量增效 | 先手优势下力大砖飞；推荐原皮才会冰系翼水冰打击面覆盖广速冻
幻影灵菇: 魔攻↓ | 生命+攻击+魔防/物防 | 报复 / 惊吓盒子 / 降灵 / 抽枝 | 联防偷能量；偷完再狠狠应对地血脉打火冰翼血脉更适合联防
化蝶: 生命↓ | 物防/魔防+魔攻+速度 | 晒太阳 / 退化 / 食腐 / 蝙蝠 | 3条命强拦截救场退化/食腐；晒太阳清强化一食腐清印记极限低血量减少恶魔狼蝙蝠吸血
幽影树: 速度↓ | 生命+魔攻+物防 | 移花接木 / 酶浓度调整 / 引燃 | 联防位+特性耗能；低速移花接木后手退场反复轮转挂状态消耗对手
奇丽花: 攻击↓ | 生命+魔攻+特防/物防/速度 | 光能聚集 / 花炮 | 没有能耗负担的成长型炮台
卡瓦重: 魔攻↓ | 生命+攻击+速度 | 冰雹 / 速冻 | 仅限雪↑卡瓦重；控速工具人且多条命增加对手能耗给后排制造起点
音速犬: 魔攻↓ | 生命+攻击+速度 | 火云车 / 流星火雨 / 当头棒喝 / 焚烧烙印 / 跌落 / 热身 | 清印记兼顶级输出手；特性首回合入场造成压力极大
蹦床松鼠: 攻击↓ | 生命++物防/魔防 | 热身 / 热身运动 / 追打 / 休息回复 / 等价交换 / 吓退 / 雪替身 / 嗜痛 | 热身运动加连击；小心嗜痛遇到骨龙记得点休息回复骗吓退
星光狮: 攻击↓ | 生命+魔攻+速度 | 炎打 / 过载回路 / 雷暴 / 埋伏 / 黑手 | 特攻音速犬；雷暴打爆发埋伏/黑手读换人黑手埋伏
翠顶夫人: 攻击↓ | 生命+/物防+魔防 | 水花四溅 / 水炮 / 润泽 / 泡沫 / 泡沫幻影 / 水环 / 风隐 | 润泽费用高，被拦截节奏容易；所以需要堆耐久吃更多伤害可联动特攻翼王&迪莫展开推队
黑羽夫人: 魔攻↓ | 生命+攻击+物防/速度 | 力量增效 / 飞羽 / 水刃 / 撕咬 / 蝙蝠 | 水刃针对机械撕咬打萌和毒；相比白天鹅可以抵抗帕尔蝙蝠吸血高数值可联动翼王&传递对手负面状态
咔咔鸟: 魔攻↓ | 生命+物防/魔防+速度 | 连续爪击 / 缠丝劲 / 暴风眼 / 聚盐 | 暴风眼；聚盐聚盐聚盐聚盐聚盐聚盐；连续×99爪击高速侈动
白金独角兽: 攻击↓ | 生命+魔攻+速度 | 叶绿光束 / 气泡 / 折射 / 回旋风暴 / 追打 | 折射叠连击数+威力+减能耗；回血+冻结+加速飞打草系+沉铁兽草打内战
黑猫巫师: 攻击↓ | 物防/生命+魔攻+速度 | 许愿星 / 恐吓 / 魔法增效 / 嗜痛 | 首领化需要极速性格+个体；特性一层过105极速气独角兽）特性两层过145极速（噼啪鸟）
怖哭菇: 攻击↓ | 生命+魔防+物防 | 错乱 / 吓退 / 冥想 | 错乱冥想活着能叠印记；不屈之心抓住机会可以复活吓退救场
恶魔狼: 魔攻↓ | 生命+攻击+速度 | 火焰切割 / 蝙蝠 / 吞噬 / 有效预防 | 蝙蝠续航；吞噬收割节约能量有效顺防
电企鹅: 攻击↓ | 生命+魔攻+速度 | 感电 / 过载回路 / 掩护 / 赤子之心 / 击鼓传花 / 冰封 / 超导 / 超导加速 | 配合赤子之心+击鼓传花；1·2层湿润印记都可启动不断轮转提高感电使用次数
獠牙猪: 魔攻↓ | 生命+攻击+特防/物防 | 丢冰块 / 石锁 / 暴风雪 / 地刺 | 带复数冰系技能给地面技能增伤；冰地打击面优秀
雪影娃娃: 魔攻↓ | 生命+攻击+物防 | 爆米花爆破 / 冬至 / 霜降 / 暴风雪 | 不断轮转通过特性叠加冻结和能耗；两层冻结=10％进斩杀线
尖嘴狐仙: 魔攻↓ | 生命+攻击+魔防/物防/速度 | 火焰护盾 / 火焰切割 / 暴风雪 / 焚烧烙印 / 速冻 | 全是百分比伤害；火焰护盾=．10％血无博弈斩杀
圣羽翼王: 攻击↓ | 生命+魔攻+速度 | 水炮 / 魔法增效 / 伺机而动 / 防御 / 回旋风暴 / 疾风连袭 / 水花四溅 | 水炮单挂相对稳定但缺少爆发；伺机而动水花四溅需要天鹅以外组件
针叶巡林: 魔攻↓ | 生命+攻击+物防/魔防 | 光合作用 / 力量增效 / 截拳 / 撕咬 / 防御 / 地刺 / 刺藤 / 藤绞 | 光合作用帮助后排精灵回能防御；武+恶打击面也能针对环境圣剑+骨龙
炽心勇狮: 攻击↓ | 生命+魔攻+物防 | 防御 / 防御反击 / 炙热波动 / 阻断 / 魔法增效 / 叠势 | 火系海豹船长；防御反击应对后叠势无人能挡触发特性后可压力对手聚能骗盾
游蛇魔使: 魔攻↓ | 生命+攻击+速度 | 水幕冲击 / 一拳 / 打湿 | 性格不加速啮合之后只能过135星光狮；性格加速可以过顺警优优；机械愿力可以打雪影或者三
海豹船长: 攻击↑；魔攻↓ | 生命+攻击+物防/魔防 | 斩断 / 一拳 / 水刃 / 听桥 / 硬门 / 力量增效 / 防御 | 猜拳真神听桥/硬门力员增效；水刃应对状态听挢应对攻击力量增效应对防御
圆号鱼: 攻击↓ | 生命+魔防+物防 | 水炮 / 洗礼 / 泡沫 / 泡沫幻影 / 打湿 / 甜心续航 | 尊贵圆号鱼玩家；深度思考1秒后果断点出打湿；甜心续肮+洗礼循环理论上完對冰队
梦想三三: 魔攻↓ | 生命+魔防+物防 | 月光合奏 / 甜心续航 / 影袭 / 防御 / 防御反击 / 叠势 / 生日蛋糕 | 相对比较稳定；上限没有防御反击叠势高
酷拉: 攻击↓；速度↓ | 生命+魔攻+速度 | 飞吻 / 魔法增效 / 热身 / 热身运动 / 超导 / 超导加速 / 追打 / 花香 | 愿力同样可以吃到特性打2次；首回合上场聚能也会聚两次
海枝枝: 攻击↓ | 生命+魔攻+速度 | 天洪 / 嘲弄 / 灵媒 / 打湿 / 落星 / 有效预防 | 高速强化推队手打湿侑效颅防；能耗压力少的亻落星陨兔
声波缇塔: 魔攻↓ | 生命+攻击+速度 | 地刺 / 轴承支撑 / 啮合传递 / 齿轮扭矩 | 技能顺序非常重要啮合传递；前两回合啮合能在1↓3号位；站场越久齿轮扭矩会越来越强
冰钻布鲁斯: 魔攻↓ | 生命+攻击+物防/速度 | 冰雹 / 先发制人 / 防御 / 突袭 / 跺地 | 特性大力士pus；力增一开伤害你猜
红绒十字: 攻击↓ | 生命++魔防/物防 | 赤子之心 / 除厄 / 烈焰风暴 / 火焰护盾 / 撒娇 / 天火 / 焚烧烙印 | 赤子之心+除厄完對冰队；撒娇+除厄无限循环强化天火/焚烧烙印
帕帕斯卡: 魔攻↓ | 生命+攻击+魔防/物防/速度 | 钢铁洪流 / 轴承支撑 / 倾泻 / 风起 / 齿轮扭矩 | 这个顺序可以让齿轮扭矩频繁在1号位
立方人: 魔攻↓ | 生命+攻击+速度 | 贪婪 / 啮合传递 | 极速啮合一次刚好快过145极速；特性随机打乱。4号位减费看脸
绒光优优: 攻击↓ | 生命+魔攻+速度 | 退化 / 魔法增效 / 放晴 | 数值+机制怪触发特性超啮合后缇塔；可以挡恶魔狼挡星光獅挡音速犬通过特性可以拿到很多隐藏信息
格兰球: 攻击↓ | 生命++魔防/物防 | 漫反射 / 盛开 / 黑手 / 针状物 / 埋伏 / 棘突 | 叠加技能伤害+打高连击数技能；联防抓优势对位+埋伏给对手联防压力黑手克制骨龙
秩序鱿墨: 魔攻↓ | 生命+攻击+速度 | 能量刃 / 超级糖果 / 惊吓盒子 / 风墙 | 风墙联防应对同日是高能量刃伤害；超级糖果-:-次性爆发惊吓盒子内战强
圣剑X: 魔攻↓ | 生命+攻击+物防/魔防 | 先发制人 / 休息回复 / 齿轮切开 / 折射 / 气泡 / 啮合传递 | 1号位顺序4321循环；可联防独角兽折射气泡
